,SKU,Category,Type,brandId,lagerUnitQuantity,Units,trademark,countryOfOrigin,Group
0,24,Fruit,Tropical fruit — Pomegranate— Plain,,1.0,,,,Tropical fruits
1,208,Water,Therapeutic-table water — PET — from 1 to 2 L,1241.0,1.5,,3670.0,1.0,Mineral water
2,1008,Water,Therapeutic-table water — Import — Glass,1241.0,0.5,,4970.0,14.0,Mineral water
3,16649,Water,Table water — PET — from 1 to 2 L — Still,1241.0,1.5,,1323.0,1.0,Mineral water
4,20872,Water,Therapeutic-table water — PET — from 1 to 2 L,2693.0,1.5,,4384.0,1.0,Mineral water
5,26194,Cheese,semi-hard cheese — More expensive — National — Available import,2737.0,1.0,,4891.0,16.0,Cheese
6,32485,Fruit,Banana — Plain,,1.0,,,,Tropical fruits
7,32490,Avocado,Tropical fruit — Avocado,,1.0,,,,Tropical fruits
8,32546,Fruit,Citrus fruit — Orange — Plain,,1.0,,,,Tropical fruits
9,32549,Fruit,Citrus fruit — Grapefruit — Plain,,1.0,,,,Tropical fruits
10,32550,Fruit,Citrus fruit — Lemon — Plain,,1.0,,,,Tropical fruits
11,39465,Water,Table water — PET — from 1 to 2 L — Slightly sparkling,1241.0,1.5,,1323.0,1.0,Mineral water
12,47330,Cheese,semi-hard cheese — More expensive — National — Available import,2737.0,1.0,,297.0,16.0,Cheese
13,49207,Fruit,Tropical fruit — Mango — Plain,,1.0,,,,Tropical fruits
14,49450,Cheese,semi-hard cheese — Cheaper— National — Bulk — Rossiysky,7418.0,1.0,,1192.0,1.0,Cheese
15,67802,Water,Table water — PET — from 1 to 2 L — Strongly sparkling,1330.0,2.0,,2781.0,1.0,Mineral water
16,89074,Cheese,Sponge cake,2724.0,28.0,,1835.0,,Yogurts
17,96123,Fruit,Citrus fruit — Grapefruit — Graded,,1.0,,,37.0,Tropical fruits
18,134544,Fruit,Tropical fruit — Kiwi— Plain,,1.0,,,,Tropical fruits
19,144184,Fruit,Citrus fruit — Lime,,1.0,,,,Tropical fruits
20,219078,Bread,Bread — plain — wheat,,500.0,,9666.0,1.0,Bakery
21,219149,Bread,Baguette loaf — plain,,250.0,,9666.0,1.0,Bakery
22,221793,Bread,Small bread rolls,,70.0,,9666.0,1.0,Bakery
23,224200,Bread,Bread — plain — wheat,,550.0,,9666.0,1.0,Bakery
24,233272,Water,Therapeutic-table water — Import — PET,2737.0,1.0,,1839.0,14.0,Mineral water
25,259516,Bread,Fancy bread — small — sweet,,200.0,,9666.0,1.0,Bakery
26,362721,Cake,Cupcake,,300.0,,9666.0,1.0,Bakery
27,363713,Bread,Bread — flavored,,1.0,,15156.0,1.0,Bakery
28,369071,Water,Table water — PET — from 1 to 2 L — Still,1330.0,2.0,,2781.0,1.0,Mineral water
29,375210,Bread,Baguette loaf — plain,,300.0,,15156.0,1.0,Bakery
30,437495,Bread,Croissant,8314.0,50.0,,9666.0,6.0,Bakery
31,440815,Water,Table water — PET — more than 3 L,1330.0,6.0,,2781.0,1.0,Mineral water
32,503007,Bread,Bread — plain — rye-wheat,8274.0,340.0,,,1.0,Bakery
33,521941,Cake,Fancy bread — large — sweet,,1.0,,15156.0,1.0,Bakery
34,534443,Water,Therapeutic-table water — Import — PET,1241.0,0.75,,4970.0,14.0,Mineral water
35,543663,Cheese,soft cheese — More expensive — Import — White mold — Brie,2737.0,1.0,,8802.0,6.0,Cheese
36,552806,Bread,Baguette loaf — Flavored,,300.0,,15156.0,1.0,Bakery
37,552812,Bread,Bread roll — plain,,400.0,,15156.0,1.0,Bakery
38,567970,Bread,Baguette loaf — plain,2737.0,300.0,,9974.0,1.0,Bakery
39,571255,Cheese,semi-hard cheese — More expensive — National — Available import,2737.0,1.0,,1037.0,33.0,Cheese
40,571258,Cheese,semi-hard cheese — More expensive — National — Available import,2737.0,1.0,,1037.0,33.0,Cheese
41,591899,Bread,Bread — flavored,,1.0,,15156.0,1.0,Bakery
42,596031,Bread,Bread roll — grain,,400.0,,15156.0,,Bakery
44,638673,Bread,Fancy bread — small — sweet,,80.0,,9666.0,,Bakery
45,642700,Cheese,semi-hard cheese — More expensive — National — Available import,2737.0,1.0,,11960.0,16.0,Cheese
46,650670,Cheese,Milk desserts — up to 200 g,2313.0,120.0,,1921.0,,Yogurts
47,660399,Bread,Bread — flavored,2737.0,400.0,,9974.0,,Bakery
48,666058,Bread,Fancy bread — small — sweet,,70.0,,9666.0,,Bakery
49,690818,Bread,Ciabatta,8274.0,250.0,,4043.0,,Bakery
50,711838,Bread,Bread — plain — wheat,2737.0,350.0,,9974.0,,Bakery
51,736357,Cheese,Yoghurt — firm —plain,8276.0,400.0,,5070.0,,Yogurts
52,736360,Cheese,Yoghurt — firm —plain,8276.0,350.0,,5070.0,,Yogurts
54,787133,Avocado,Tropical fruit — Avocado — Ready to Eat,,2.0,,9666.0,,Tropical fruits
56,815381,Fruit,Citrus fruit — Mandarin — Graded,,1.0,,9666.0,,Tropical fruits
59,838137,Avocado,Tropical fruit — Avocado — Ready to Eat,,1.0,,9666.0,,Tropical fruits
